stock_id,name,market
3372,典範,otc
3373,熱映,otc
3374,精材,otc
3376,新日興,sii
3379,彬台,otc
3380,明泰,sii
3388,崇越電,otc
3390,旭軟,otc
3402,漢科,otc
3406,玉晶光,sii
3413,京鼎,sii
3416,融程電,sii
3419,譁裕,sii
3426,台興,sii
3430,奇鈦科,otc
3432,台端,sii
3434,哲固,otc
3437,榮創,sii
3438,類比科,otc
3441,聯一光,otc
3443,創意,sii
3444,利機,otc
3447,展達,sii
3450,聯鈞,sii
3455,由田,otc
3465,進泰電子,otc
3466,德晉,otc
3467,台灣精材,otc
3479,安勤,otc
3481,群創,sii
3483,力致,otc
3484,崧騰,otc
3485,敘豐,otc
3489,森寶,otc
3490,單井,otc
3491,昇達科,otc
3492,長盛,otc
3494,誠研,sii
3498,陽程,otc
3499,環天科,otc
3501,維熹,sii
3504,揚明光,sii
3508,位速,otc
3511,矽瑪,otc
3512,皇龍,otc
3515,華擎,sii
3516,亞帝歐,otc
3518,柏騰,sii
3520,華盈,otc
3521,台鋼建設,otc
3522,御嵿,otc
3523,迎輝,otc
3526,凡甲,otc
3527,聚積,otc
3528,安馳,sii
3529,力旺,otc
3530,晶相光,sii
3531,先益,otc
3532,台勝科,sii
3533,嘉澤,sii
3535,晶彩科,sii
3537,堡達,otc
3540,曜越,otc
3541,西柏,otc
3543,州巧,sii
3545,敦泰,sii
3546,宇峻,otc
3548,兆利,otc
3550,聯穎,sii
3551,世禾,otc
3552,同致,otc
3555,博士旺,otc
3556,禾瑞亞,otc
3557,嘉威,sii
3558,神準,otc
3563,牧德,sii
3564,其陽,otc
3567,逸昌,otc
3570,大塚,otc
3576,聯合再生,sii
3577,泓格,otc
3580,友威科,otc
3581,博磊,otc
3583,辛耘,sii
3587,閎康,otc
3588,通嘉,sii
3591,艾笛森,sii
3592,瑞鼎,sii
3593,力銘,sii
3594,磐儀,otc
3596,智易,sii
3597,映興,otc
3605,宏致,sii
3607,谷崧,sii
3609,三一東林,otc
3611,鼎翰,otc
3615,安可,otc
3617,碩天,sii
3622,洋華,sii
3623,富晶通,otc
3624,光頡,otc
3625,西勝,otc
3628,盈正,otc
3629,地心引力,otc
3630,新鉅科,otc
3631,晟楠,otc
3632,研勤,otc
3645,達邁,sii
3646,艾恩特,otc
3652,精聯,sii
3653,健策,sii
3663,鑫科,otc
3666,光耀,otc
3669,圓展,sii
3672,康聯訊,otc
3675,德微,otc
3679,新至陞,sii
3680,家登,otc
3684,榮昌,otc
3685,元創精密,otc
3686,達能,sii
3687,歐買尬,otc
3689,湧德,otc
3691,碩禾,otc
3693,營邦,otc
3694,海華,sii
3701,大眾控,sii
3702,大聯大,sii
3703,欣陸,sii
3704,合勤控,sii
3705,永信,sii
3706,神達,sii
3707,漢磊,otc
3708,上緯投控,sii
3709,鑫聯大投控,otc
3710,連展投控,otc
3711,日月光投控,sii
3712,永崴投控,sii
3713,新晶投控,otc
3714,富采,sii
3715,定穎投控,sii
3716,中化控股,sii
3717,聯嘉投控,sii
4102,永日,otc
4104,佳醫,sii
4105,東洋,otc
4106,雃博,sii
4107,邦特,otc
4108,懷特,sii
4109,加捷生醫,otc
4111,濟生,otc
4113,聯上,otc
4114,健喬,otc
4116,明基醫,otc
4119,旭富,sii
4120,友華,otc
4121,優盛,otc
4123,晟德,otc
4126,太醫,otc
4127,天良,otc
4128,中天,otc
4129,聯合,otc
4130,健亞,otc
4131,浩泰,otc
4133,亞諾法,sii
4138,曜亞,otc
4142,國光生,sii
4147,中裕,otc
4153,鈺緯,otc
4155,訊映,sii
4160,訊聯基因,otc
4161,聿新科,otc
4162,智擎,otc
4163,鐿鈦,otc
4164,承業醫,sii
4166,友霖,otc
4167,松瑞藥,otc
4168,醣聯,otc
4169,泰宗,sii
4171,瑞基,otc
4173,久裕,otc
4174,浩鼎,otc
4175,杏一,otc
4183,福永生技,otc
4188,安克,otc
4192,杏國,otc
4195,基米-創,sii
4198,欣大健康,otc
4205,中華食,otc
4207,環泰,otc
4303,信立,otc
4304,勝昱,otc
4305,世坤,otc
4306,炎洲,sii
4401,東隆興,otc
4402,郡都開發,otc
4406,新昕纖,otc
4413,飛寶企業,otc
4414,如興,sii
4416,三圓,otc
4417,金洲,otc
4419,皇家美食,otc
4420,光明,otc
4426,利勤,sii
4430,耀億,otc
4432,銘旺實,otc
